molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL201074,COc1cc(OC2CCCCC2=O)c2c(C)cc(=O)oc2c1,IC50,>,200000.0,nM
CHEMBL536057,C=C(CNN)c1ccccc1.Cl,IC50,=,1300.0,nM
CHEMBL536510,C=C(CN(C)NC)c1ccc(Cl)cc1.Cl,IC50,,,
CHEMBL536509,C=C(CN(N)Cc1ccccc1)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL559381,C=C(CN(N)C(C)C)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL557373,C=C(CN(N)CC)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL540369,C=C(CN(C)N)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL536740,C=C(CNNCc1ccccc1)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL534491,C=C(CNNC(C)C)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL538327,C=C(CNNCC)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL534938,C=C(CNNC)c1ccc(F)cc1.Cl,IC50,,,
CHEMBL556769,Cl.NNC/C(=C/F)c1ccccc1,IC50,=,2800.0,nM
CHEMBL553631,C=C(CNN)c1ccccc1C.Cl,IC50,=,2000.0,nM
CHEMBL536059,C=C(CNN)c1ccc(F)cc1.Cl,IC50,=,6000.0,nM
CHEMBL536060,C=C(CNN)c1ccc(Cl)cc1.Cl,IC50,=,1000.0,nM
CHEMBL125520,COc1ccc2c(c1)C(=O)c1cc(-c3cccc(C(F)(F)F)c3)nnc1-2,IC50,>,1000.0,nM
CHEMBL209413,COc1ccc2c(c1)-c1nnc(-c3cccc(C(F)(F)F)c3)cc1C2=O,IC50,>,1000.0,nM
CHEMBL125520,COc1ccc2c(c1)C(=O)c1cc(-c3cccc(C(F)(F)F)c3)nnc1-2,IC50,=,38.0,nM
CHEMBL209413,COc1ccc2c(c1)-c1nnc(-c3cccc(C(F)(F)F)c3)cc1C2=O,IC50,=,0.1,nM
CHEMBL348961,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O,IC50,,,
CHEMBL348961,Cc1cc2c(nn1)-c1cc(OCCCC(F)(F)F)ccc1C2=O,IC50,,,
CHEMBL158946,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21,IC50,=,540.0,nM
CHEMBL255700,C#CCNCc1ccnc2c(O)cccc12,IC50,=,2390.0,nM
CHEMBL258420,C#CCN(C)Cc1ccnc2c(O)cccc12,IC50,=,37.0,nM
CHEMBL257368,C#CCN1CCN(Cc2ccnc3c(O)cccc23)CC1,IC50,=,299800.0,nM
CHEMBL356385,C#CCN(C)C(C)Cc1cccc(OC(=O)N(C)CCCCCC)c1,IC50,=,20000.0,nM
CHEMBL255231,C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,IC50,=,85000.0,nM
CHEMBL255230,C#CCN[C@@H]1CCc2cc(Cl)c(OC(=O)N(C)CCC)cc21,IC50,=,375000.0,nM
CHEMBL887,C#CCN[C@@H]1CCc2ccccc21,IC50,=,410.0,nM
CHEMBL109018,Cc1c(C)c2ccc(OCc3cccc(Cl)c3)cc2oc1=O,IC50,=,1120.0,nM
CHEMBL972,C#CCN(C)[C@H](C)Cc1ccccc1,IC50,=,1200.0,nM
CHEMBL255590,NCc1ccc2c(c1)C1(CCN(C(=O)c3ccc(C#Cc4ccccc4)o3)CC1)CO2,IC50,=,23000.0,nM
CHEMBL498505,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2F)cs1,IC50,=,37950.0,nM
CHEMBL496281,CC1CCCC/C1=N/Nc1nc(-c2ccc(Cl)cc2Cl)cs1,IC50,=,44700.0,nM
CHEMBL496280,CC1CCCC/C1=N/Nc1nc(-c2ccc(F)cc2)cs1,IC50,=,43550.0,nM
CHEMBL496279,CC1CCCC/C1=N/Nc1nc(-c2ccc(Cl)cc2)cs1,IC50,=,35220.0,nM
